age,Sr87_86Sr,CI_plus,CI_minus
31.35,0.707938,0.707946,0.707930
31.40,0.707937,0.707945,0.707928
31.45,0.707935,0.707944,0.707927
31.50,0.707934,0.707942,0.707925
31.55,0.707932,0.707941,0.707924
31.60,0.707931,0.707939,0.707922
31.65,0.707929,0.707937,0.707921
31.70,0.707927,0.707936,0.707919
31.75,0.707926,0.707934,0.707917
31.80,0.707924,0.707932,0.707916
31.85,0.707922,0.707930,0.707914
31.90,0.707920,0.707929,0.707912
31.95,0.707919,0.707927,0.707910
32.00,0.707917,0.707925,0.707909
32.05,0.707915,0.707923,0.707907
32.10,0.707913,0.707921,0.707905
32.15,0.707911,0.707920,0.707903
32.20,0.707910,0.707918,0.707901
32.25,0.707908,0.707916,0.707899
32.30,0.707906,0.707914,0.707897
32.35,0.707904,0.707912,0.707895
32.40,0.707902,0.707910,0.707893
32.45,0.707900,0.707909,0.707891
32.50,0.707898,0.707907,0.707889
32.55,0.707896,0.707905,0.707887
32.60,0.707894,0.707903,0.707885
32.65,0.707892,0.707901,0.707883
32.70,0.707890,0.707898,0.707881
32.75,0.707887,0.707896,0.707879
32.80,0.707885,0.707893,0.707876
32.85,0.707882,0.707891,0.707874
32.90,0.707880,0.707888,0.707871
32.95,0.707877,0.707885,0.707869
33.00,0.707874,0.707883,0.707866
33.05,0.707872,0.707880,0.707864
33.10,0.707869,0.707877,0.707861
33.15,0.707866,0.707874,0.707858
33.20,0.707863,0.707871,0.707855
33.25,0.707860,0.707868,0.707853
33.30,0.707858,0.707866,0.707850
33.35,0.707855,0.707863,0.707847
33.40,0.707852,0.707860,0.707844
33.45,0.707850,0.707858,0.707841
33.50,0.707847,0.707855,0.707839
33.55,0.707844,0.707852,0.707836
33.60,0.707842,0.707850,0.707834
33.65,0.707839,0.707848,0.707831
33.70,0.707837,0.707845,0.707829
33.75,0.707835,0.707843,0.707826
33.80,0.707832,0.707840,0.707824
33.85,0.707830,0.707838,0.707822
33.90,0.707827,0.707835,0.707819
33.95,0.707825,0.707833,0.707817
34.00,0.707822,0.707830,0.707814
34.05,0.707820,0.707827,0.707812
34.10,0.707817,0.707825,0.707809
34.15,0.707814,0.707822,0.707807
34.20,0.707812,0.707820,0.707804
34.25,0.707809,0.707817,0.707801
34.30,0.707807,0.707814,0.707799
34.35,0.707804,0.707812,0.707796
34.40,0.707802,0.707810,0.707794
34.45,0.707799,0.707807,0.707792
34.50,0.707797,0.707805,0.707789
34.55,0.707795,0.707803,0.707787
34.60,0.707793,0.707801,0.707785
34.65,0.707791,0.707799,0.707783
34.70,0.707789,0.707797,0.707781
34.75,0.707788,0.707796,0.707780
34.80,0.707786,0.707794,0.707779
34.85,0.707785,0.707793,0.707777
34.90,0.707784,0.707792,0.707776
34.95,0.707783,0.707790,0.707775
35.00,0.707782,0.707789,0.707774
35.05,0.707781,0.707788,0.707773
35.10,0.707779,0.707787,0.707772
35.15,0.707778,0.707786,0.707771
35.20,0.707777,0.707785,0.707770
35.25,0.707776,0.707784,0.707768
35.30,0.707775,0.707783,0.707767
35.35,0.707774,0.707782,0.707766
35.40,0.707773,0.707781,0.707765
35.45,0.707772,0.707780,0.707764
35.50,0.707771,0.707779,0.707763
35.55,0.707770,0.707778,0.707762
35.60,0.707769,0.707777,0.707761
35.65,0.707768,0.707776,0.707761
35.70,0.707768,0.707776,0.707760
35.75,0.707767,0.707775,0.707759
35.80,0.707766,0.707774,0.707759
35.85,0.707766,0.707774,0.707758
35.90,0.707765,0.707773,0.707758
35.95,0.707765,0.707773,0.707757
36.00,0.707764,0.707772,0.707756
36.05,0.707764,0.707772,0.707756
36.10,0.707763,0.707771,0.707755
36.15,0.707763,0.707771,0.707755
36.20,0.707762,0.707770,0.707754
36.25,0.707762,0.707770,0.707753
36.30,0.707761,0.707769,0.707753
